text,intent,severity
@793766 Yes they did Jake. - Natalie,other,1
@191528 Thanks a bunch for sharing your details with us. We shall work on your issue and get back to you at the earliest. We appreciate your cooperation here. ^CB,other,1
"@145669 Hi. There are no direct trains to Maidstone, you can check your journey here as to which Maidstone station you're traveling to.",general_query,1
"@309872 Hello, Phil. In the interest of protecting your privacy, I've responded to you through DM. Please review your messages. ^CK https://t.co/q1oBDuYAdh",other,1
"@NikeSupport It is not showing any error! I have to manually add my guided runs to the activities. It records entire run,give me stats in the end...",technical_issue,2
"@365754 Hi Bob. Please try resetting your DS4 controller, Steps here: https://t.co/NEyEZL7irb
Let us know the results.",technical_issue,3
Bro I fucking hate apple my home button just stopped working out of no where. FUCK YOU @115858,technical_issue,3
"@AmazonHelp I ordered 2 items that arrived broken, one was replaced and the other was out of stock so I waited until it was back in stock to get it replaced. When I ordered the replacement for the 2nd item they sent the other item that was already replaced. Its a movie, it's been opened.",shipping_issue,3
@220970 Thanks for checking. Our iTunes Team can research this further. Please contact them directly here: https://t.co/SDIe7UiyJN,technical_issue,3
"@214512 Hi, Kelly, it looks like our Reservations team is taking good care of you. Please continue working with them.",other,1
@746653 Hey Eli! Help's here. Can you DM us the email addresses registered in your accounts? We'll take a look backstage /MG https://t.co/ldFdZRiNAt,other,2
"@428085 Hi there! Were you able to finish the preorder process? Please send us a Direct Message, so that we can further assist you. - JL https://t.co/rMApsV8PQY",other,2
"@153468 Sorry for your experience, did you have seats reserved? ^MM",other,2
@Morrisons why hasnt anyone replied to my previous tweet????,other,2
"@221198 Gracias por la información, ¿el producto es vendido y enviado por Amazon o por un vendedor externo que utiliza nuestra plataforma? ^LC",other,2
@AmazonHelp Cette fois c'est #laposte du coup je suis même pas étonné...,other,2
@375356 We're so sorry this happened!,other,2
@662933 I'm sorry the order didn't arrive today! Please reach out to us by phone here: https://t.co/JzP7hlA23B so we can take a closer look into this with you. ^AH,other,2
@757366  Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,other,2
"@147247 Hi, Ashira. We have replied via DM with some information, please follow up with us there.",other,2
"@718073 Thank you for the picture. If the Eagles game is frozen can you reboot the cable box by removing the power for about 10 seconds?
^HSB",other,2
@340383 ...updates. 2/2,other,2
@803591 Ich gebs gern weiter. In der kompletten Staffel oder nur in einzelnen Episoden? ^BL,other,2
@AskeBay Ouch !....we wouldn't want that would we?....but you are allowed to put your phone no. In an Ad ?,other,2
AYO anyone work for sprint I got questions LOL,other,2
"@362819 Not at all! Take a look here for all the features, and where to find them: https://t.co/mgtQSijbmx",other,2
"@531131 Hi Stephen, I am so sorry to learn about this issue with the missing profiteroles. I would like to get this logged and a refund out. 1/4",other,2
@116253 after they said my online order wasn't placed and after I waited 30 minutes I get home to this bacon.... sad! https://t.co/sA4qcAZSdD,other,2
@AskPlayStation Ok this told me nothing... Like what?,other,2
@O2 Okay. Thanks for trying. It must be frustrating for you guys as well not being given any details to be able to pass on.,other,2
"@GWRHelp cheap tickets or not, no heating, no power to the sockets &amp; no reservations, asking people to walk about to find a warm coach is a joke... next you'll be asking us to cuddle for warmth 🤤",other,2
@AlaskaAir I understand delays. Failure to provide timely updates is the irritation.,other,2
"Hey @116062, I see this is priced on the floor at $349 but it rings up at $599. Are y'all going to honor the pricing? https://t.co/6ft7mPeItu",other,2
@TMobileHelp How am I on the right place when I’ve jus been #scammed by you? Lmao wtf,other,2
"@DropboxSupport I'm seeing shared folders in the browser view of my account, but they are not pushing out to my local machine. How to fix?",other,2
Where there's blame there's a claim @356580  #R1TeenAwards https://t.co/mYfLd1a18i,other,2
"@480663 Entiendo javi, ¿has contactado con el transportista directamente? ^MB",other,2
@UPSHelp Are you really that clueless. The orders you are bungling are repeat b to b orders from major automotive source and it seems you can't get a packages out of L'ville on time.,other,2
@GWRHelp @132409 @127298 Clearly you need more staff. This is a long term issue that Mark Hopwood has previously said GWR need to do better but clearly nothing has been done as usual.,other,2
Nawww @139432 is this years star of @marksandspencer Christmas ad #lovethebear https://t.co/501jV4Bjb6,other,2
@AmazonHelp Apparently it has even been sent out to delivery. The only information I have is it left the facility in Colorado 2 days ago in the early morning…,other,2
@British_Airways Hi Kiran - unfortunately I am unable to DM you. Please could you DM me for me to send you those details ?,other,2
"It's amazing how many problems I have had with my iPhone 6, starting the same exact day the iPhone 8 came out.  #SketchBalls",other,2
Where do i make a complaint about a location ? The Chicken was cold in my burrito and Guac looked greenish brown- not normal.. @ChipotleTweets,other,2
"@407745 We'd like to look into this with you in real time, Juanita. Please contact via phone or chat here: https://t.co/hApLpMlfHN ^BL",other,2
@hulu_support @167276 When it takes 5+ selections to get to an episode you want to watch it's not user tested.,other,2
"@328692 Hey Rusell, we see our colleague has reached back out to you on the ticket, requesting more details. Please check your inbox for our... 1/2",other,1
@425953 I understand and thank you for the update. I am glad a tech is there now. I can follow up with you to see how everything went.-JC,other,2
